Ano;Semestre;data semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2022;2;2022 Sem. 2;Rio Maior;161.0;1414
2022;2;2022 Sem. 2;Trancoso;113.0;0913
2022;2;2022 Sem. 2;Vila de Rei;35.0;0510
2022;2;2022 Sem. 2;Castelo de Paiva;220.0;0106
2022;2;2022 Sem. 2;Braga;1340.0;0303
2022;2;2022 Sem. 2;Águeda;446.0;0101
2022;2;2022 Sem. 2;Póvoa de Lanhoso;352.0;0309
2022;2;2022 Sem. 2;Covilhã;372.0;0503
2022;2;2022 Sem. 2;Serpa;99.0;0213
2022;2;2022 Sem. 2;Ribeira de Pena;86.0;1709
2022;2;2022 Sem. 2;Ourique;59.0;0212
2022;2;2022 Sem. 2;Golegã;82.0;1412
2022;2;2022 Sem. 2;Alvaiázere;64.0;1002
2022;2;2022 Sem. 2;Carrazeda de Ansiães;73.0;0403
2022;2;2022 Sem. 2;Estremoz;85.0;0704
2022;2;2022 Sem. 2;Salvaterra de Magos;218.0;1415
2022;2;2022 Sem. 2;Sintra;1070.0;1111
2022;2;2022 Sem. 2;Carregal do Sal;94.0;1802
2022;2;2022 Sem. 2;Portimão;291.0;0811
2022;2;2022 Sem. 2;Sardoal;55.0;1417
2022;2;2022 Sem. 2;Porto de Mós;188.0;1016
2022;2;2022 Sem. 2;Arronches;25.0;1202
2022;2;2022 Sem. 2;Loulé;650.0;0808
2022;2;2022 Sem. 2;Benavente;282.0;1405
2022;2;2022 Sem. 2;Avis;41.0;1203
2022;2;2022 Sem. 2;Sertã;253.0;0509
2022;2;2022 Sem. 2;Sobral de Monte Agraço;106.0;1112
2022;2;2022 Sem. 2;Vila Nova de Foz Côa;75.0;0914
2022;2;2022 Sem. 2;Caldas da Rainha;516.0;1006
2022;2;2022 Sem. 2;Constância;34.0;1408
2022;2;2022 Sem. 2;Marvão;37.0;1210
2022;2;2022 Sem. 2;Vila Real;477.0;1714
2022;2;2022 Sem. 2;São João da Madeira;66.0;0116
2022;2;2022 Sem. 2;Cuba;48.0;0207
2022;2;2022 Sem. 2;Albufeira;328.0;0801
2022;2;2022 Sem. 2;Lamego;306.0;1805
2022;2;2022 Sem. 2;Arraiolos;70.0;0702
2022;2;2022 Sem. 2;Seia;199.0;0912
2022;2;2022 Sem. 2;Portalegre;184.0;1214
2022;2;2022 Sem. 2;Moita;336.0;1506
2022;2;2022 Sem. 2;Aguiar da Beira;76.0;0901
2022;2;2022 Sem. 2;Belmonte;78.0;0501
2022;2;2022 Sem. 2;Sousel;22.0;1215
2023;1;2023 Sem. 1;Belmonte;78.0;0501
2023;1;2023 Sem. 1;Vila Nova de Famalicão;1505.0;0312
2023;1;2023 Sem. 1;Ponte de Sor;110.0;1213
2023;1;2023 Sem. 1;Póvoa de Lanhoso;330.0;0309
2023;1;2023 Sem. 1;Barcelos;1538.0;0302
2023;1;2023 Sem. 1;Moita;302.0;1506
2023;1;2023 Sem. 1;Seixal;1401.0;1510
2023;1;2023 Sem. 1;Nazaré;145.0;1011
2023;1;2023 Sem. 1;Pombal;570.0;1015
2023;1;2023 Sem. 1;Murça;93.0;1707
2023;1;2023 Sem. 1;Castro daire;142.0;1803
2023;1;2023 Sem. 1;Almeirim;158.0;1403
2023;1;2023 Sem. 1;Arganil;95.0;0601
2023;1;2023 Sem. 1;Viseu;984.0;1823
2023;1;2023 Sem. 1;Mértola;73.0;0209
2023;1;2023 Sem. 1;Figueiró dos Vinhos;51.0;1008
2023;1;2023 Sem. 1;Oeiras;477.0;1110
2023;1;2023 Sem. 1;Paços de Ferreira;661.0;1309
2023;1;2023 Sem. 1;Albergaria-a-Velha;179.0;0102
2023;1;2023 Sem. 1;Crato;37.0;1206
2023;1;2023 Sem. 1;Sousel;34.0;1215
2023;1;2023 Sem. 1;Cadaval;169.0;1104
2023;1;2023 Sem. 1;Trancoso;77.0;0913
2023;1;2023 Sem. 1;Lousã;171.0;0607
2023;1;2023 Sem. 1;Portel;51.0;0709
2023;1;2023 Sem. 1;Castro Verde;73.0;0206
2023;1;2023 Sem. 1;Oliveira do Hospital;155.0;0611
2023;1;2023 Sem. 1;Vila Flor;100.0;0410
2023;1;2023 Sem. 1;Soure;150.0;0615
2023;1;2023 Sem. 1;Benavente;293.0;1405
2023;1;2023 Sem. 1;Vila do Bispo;65.0;0815
2023;1;2023 Sem. 1;Mealhada;190.0;0111
2023;1;2023 Sem. 1;Cascais;1155.0;1105
2023;1;2023 Sem. 1;Sertã;173.0;0509
2023;1;2023 Sem. 1;Sabugal;100.0;0911
2023;1;2023 Sem. 1;Penela;67.0;0614
2023;1;2023 Sem. 1;Ponte da Barca;97.0;1606
2023;1;2023 Sem. 1;Cuba;59.0;0207
2023;1;2023 Sem. 1;Celorico da Beira;76.0;0903
2023;1;2023 Sem. 1;Arouca;232.0;0104
2023;1;2023 Sem. 1;Vimioso;61.0;0411
2023;1;2023 Sem. 1;Nelas;145.0;1809
2023;1;2023 Sem. 1;Mourão;34.0;0708
2023;1;2023 Sem. 1;Arcos de Valdevez;375.0;1601
2023;1;2023 Sem. 1;Porto;1099.0;1312
2023;1;2023 Sem. 1;Vila Nova da Barquinha;76.0;1420
2023;1;2023 Sem. 1;Espinho;154.0;0107
2023;1;2023 Sem. 1;Aveiro;521.0;0105
2023;1;2023 Sem. 1;Alvito;22.0;0203
2023;1;2023 Sem. 1;Rio Maior;162.0;1414
2023;1;2023 Sem. 1;Resende;99.0;1813
2023;1;2023 Sem. 1;Montalegre;86.0;1706
2023;1;2023 Sem. 1;Setúbal;759.0;1512
2023;1;2023 Sem. 1;Peso da Régua;108.0;1708
2023;1;2023 Sem. 1;Entroncamento;94.0;1410
2023;1;2023 Sem. 1;Portimão;287.0;0811
2023;1;2023 Sem. 1;Alcoutim;41.0;0802
2023;1;2023 Sem. 1;Alenquer;313.0;1101
2023;1;2023 Sem. 1;Caminha;210.0;1602
2023;1;2023 Sem. 1;Mira;146.0;0608
2023;1;2023 Sem. 1;Avis;34.0;1203
2023;1;2023 Sem. 1;Vieira do Minho;199.0;0311
2023;1;2023 Sem. 1;Vila Nova de Foz Côa;65.0;0914
2023;1;2023 Sem. 1;Pinhel;80.0;0910
2023;1;2023 Sem. 1;Gouveia;109.0;0906
2023;1;2023 Sem. 1;Torre de Moncorvo;65.0;0409
2023;1;2023 Sem. 1;Braga;1724.0;0303
2023;1;2023 Sem. 1;Castanheira de Pêra;37.0;1007
2023;1;2023 Sem. 1;Monchique;62.0;0809
2023;1;2023 Sem. 1;Vale de Cambra;181.0;0119
2023;1;2023 Sem. 1;Almeida;91.0;0902
2023;1;2023 Sem. 1;Vila de Rei;41.0;0510
2023;1;2023 Sem. 1;Castelo Branco;477.0;0502
2023;1;2023 Sem. 1;Évora;359.0;0705
2023;1;2023 Sem. 1;Vouzela;174.0;1824
2023;1;2023 Sem. 1;Constância;57.0;1408
2023;1;2023 Sem. 1;Torres Novas;343.0;1419
2023;1;2023 Sem. 1;Alfândega da Fé;54.0;0401
2023;1;2023 Sem. 1;Mêda;43.0;0909
2023;1;2023 Sem. 1;Lisboa;1042.0;1106
2023;1;2023 Sem. 1;São João da Madeira;81.0;0116
2023;1;2023 Sem. 1;Azambuja;216.0;1103
2023;1;2023 Sem. 1;Mesão Frio;26.0;1704
2023;1;2023 Sem. 1;Santa Comba Dão;96.0;1814
2023;1;2023 Sem. 1;Vizela;317.0;0314
2023;1;2023 Sem. 1;Viana do Alentejo;57.0;0713
2023;1;2023 Sem. 1;Guimarães;2064.0;0308
2023;1;2023 Sem. 1;Caldas da Rainha;541.0;1006
2023;1;2023 Sem. 1;Almodôvar;53.0;0202
2023;1;2023 Sem. 1;Fronteira;35.0;1208
2023;1;2023 Sem. 1;Barrancos;10.0;0204
2023;1;2023 Sem. 1;;1.0;N/A
2023;2;2023 Sem. 2;Vila Velha de Ródão;31.0;0511
2023;2;2023 Sem. 2;Sátão;68.0;1817
2023;2;2023 Sem. 2;Vila Verde;425.0;0313
2023;2;2023 Sem. 2;Espinho;76.0;0107
2023;2;2023 Sem. 2;Alijó;86.0;1701
2023;2;2023 Sem. 2;Góis;46.0;0606
2023;2;2023 Sem. 2;Almeirim;55.0;1403
2023;2;2023 Sem. 2;Mirandela;122.0;0407
2023;2;2023 Sem. 2;Manteigas;14.0;0908
2023;2;2023 Sem. 2;Torres Vedras;321.0;1113
2023;2;2023 Sem. 2;Mortágua;54.0;1808
2023;2;2023 Sem. 2;Porto;498.0;1312
2023;2;2023 Sem. 2;Sernancelhe;40.0;1818
2023;2;2023 Sem. 2;Vinhais;43.0;0412
2023;2;2023 Sem. 2;Alvito;12.0;0203
2023;2;2023 Sem. 2;Vila Nova de Foz Côa;31.0;0914
2023;2;2023 Sem. 2;Viseu;553.0;1823
2023;2;2023 Sem. 2;Leiria;641.0;1009
2023;2;2023 Sem. 2;Albergaria-a-Velha;115.0;0102
2024;2;2024 Sem. 2;Vila Viçosa;47.0;0714
2024;2;2024 Sem. 2;Viseu;667.0;1823
2024;2;2024 Sem. 2;Vagos;163.0;0118
2024;2;2024 Sem. 2;Vila Pouca de Aguiar;118.0;1713
2024;2;2024 Sem. 2;Lagos;216.0;0807
2024;2;2024 Sem. 2;Resende;106.0;1813
2024;2;2024 Sem. 2;Figueira de Castelo Rodrigo;38.0;0904
2024;2;2024 Sem. 2;Santiago do Cacém;183.0;1509
2024;2;2024 Sem. 2;Fronteira;26.0;1208
2024;2;2024 Sem. 2;Oliveira do Hospital;120.0;0611
2024;2;2024 Sem. 2;Lagoa;166.0;0806
2024;2;2024 Sem. 2;Tomar;243.0;1418
2024;2;2024 Sem. 2;Alijó;135.0;1701
2024;2;2024 Sem. 2;Porto de Mós;145.0;1016
2024;2;2024 Sem. 2;Vila Velha de Ródão;48.0;0511
2024;2;2024 Sem. 2;Arouca;239.0;0104
2024;2;2024 Sem. 2;Arcos de Valdevez;241.0;1601
2024;2;2024 Sem. 2;Vila Nova de Poiares;63.0;0617
2024;2;2024 Sem. 2;Constância;31.0;1408
2024;2;2024 Sem. 2;Estremoz;87.0;0704
2024;2;2024 Sem. 2;Barreiro;138.0;1504
2024;2;2024 Sem. 2;Boticas;69.0;1702
2024;2;2024 Sem. 2;Chaves;257.0;1703
2024;2;2024 Sem. 2;Valongo;260.0;1315
2024;2;2024 Sem. 2;Amarante;350.0;1301
2024;2;2024 Sem. 2;Melgaço;101.0;1603
2024;2;2024 Sem. 2;Pinhel;62.0;0910
2024;2;2024 Sem. 2;Alandroal;58.0;0701
2024;2;2024 Sem. 2;Salvaterra de Magos;202.0;1415
2024;2;2024 Sem. 2;Setúbal;364.0;1512
2024;2;2024 Sem. 2;Ílhavo;218.0;0110
2024;2;2024 Sem. 2;Albergaria-a-Velha;169.0;0102
2024;2;2024 Sem. 2;Vila Real;391.0;1714
2024;2;2024 Sem. 2;Reguengos de Monsaraz;78.0;0711
2024;2;2024 Sem. 2;Vila Nova de Paiva;62.0;1822
2024;2;2024 Sem. 2;Oliveira de Azeméis;350.0;0113
2024;2;2024 Sem. 2;Mortágua;68.0;1808
2024;2;2024 Sem. 2;Alpiarça;53.0;1404
2024;2;2024 Sem. 2;Guarda;211.0;0907
2024;2;2024 Sem. 2;Almeirim;114.0;1403
2024;2;2024 Sem. 2;Marinha Grande;232.0;1010
2024;2;2024 Sem. 2;Mondim de Basto;85.0;1705
2024;2;2024 Sem. 2;Condeixa-a-Nova;111.0;0604
2024;2;2024 Sem. 2;Vila Flor;52.0;0410
2024;2;2024 Sem. 2;Gouveia;78.0;0906
2024;2;2024 Sem. 2;Trancoso;49.0;0913
2024;2;2024 Sem. 2;Aljezur;63.0;0803
2024;2;2024 Sem. 2;Moita;222.0;1506
2024;2;2024 Sem. 2;Mealhada;111.0;0111
2024;2;2024 Sem. 2;Mangualde;200.0;1806
2024;2;2024 Sem. 2;Almodôvar;65.0;0202
2024;2;2024 Sem. 2;Arruda dos Vinhos;79.0;1102
2024;2;2024 Sem. 2;Abrantes;139.0;1401
2024;2;2024 Sem. 2;Figueira da Foz;354.0;0605
2024;2;2024 Sem. 2;Torres Novas;198.0;1419
2024;2;2024 Sem. 2;Águeda;238.0;0101
2024;2;2024 Sem. 2;Alcochete;77.0;1502
2024;2;2024 Sem. 2;Alcoutim;29.0;0802
2024;2;2024 Sem. 2;Póvoa de Varzim;331.0;1313
2024;2;2024 Sem. 2;Sabrosa;96.0;1710
2024;2;2024 Sem. 2;Sertã;175.0;0509
2024;2;2024 Sem. 2;Cuba;29.0;0207
2024;2;2024 Sem. 2;Castro daire;131.0;1803
2024;2;2024 Sem. 2;Mirandela;190.0;0407
2024;2;2024 Sem. 2;Guimarães;921.0;0308
2024;2;2024 Sem. 2;Tondela;241.0;1821
2024;2;2024 Sem. 2;Pampilhosa da Serra;44.0;0612
2024;2;2024 Sem. 2;Alvito;22.0;0203
2024;2;2024 Sem. 2;Esposende;315.0;0306
2024;2;2024 Sem. 2;Vila Real de Santo António;75.0;0816
2024;2;2024 Sem. 2;Vizela;152.0;0314
2025;1;2025 Sem. 1;Trancoso;29.0;0913
2025;1;2025 Sem. 1;Cartaxo;64.0;1406
2025;1;2025 Sem. 1;Mangualde;74.0;1806
2025;1;2025 Sem. 1;Seixal;309.0;1510
2025;1;2025 Sem. 1;Nazaré;66.0;1011
2025;1;2025 Sem. 1;Vila Viçosa;28.0;0714
2025;1;2025 Sem. 1;Vila Pouca de Aguiar;76.0;1713
2025;1;2025 Sem. 1;Torres Vedras;295.0;1113
2025;1;2025 Sem. 1;Oleiros;20.0;0506
2025;1;2025 Sem. 1;Lousada;291.0;1305
2025;1;2025 Sem. 1;Valongo;142.0;1315
2025;1;2025 Sem. 1;Loulé;332.0;0808
2025;1;2025 Sem. 1;Penamacor;35.0;0507
2025;1;2025 Sem. 1;São João da Madeira;39.0;0116
2025;1;2025 Sem. 1;Cuba;14.0;0207
2025;1;2025 Sem. 1;Ribeira de Pena;32.0;1709
2025;1;2025 Sem. 1;Évora;127.0;0705
2025;1;2025 Sem. 1;Peso da Régua;58.0;1708
2025;1;2025 Sem. 1;Rio Maior;97.0;1414
2025;1;2025 Sem. 1;Mourão;19.0;0708
2025;1;2025 Sem. 1;Castelo de Vide;11.0;1205
2025;1;2025 Sem. 1;Oliveira de Frades;60.0;1810
2025;1;2025 Sem. 1;Lamego;83.0;1805
2025;1;2025 Sem. 1;Sousel;21.0;1215
2025;1;2025 Sem. 1;Mira;51.0;0608
2025;1;2025 Sem. 1;Melgaço;35.0;1603
2025;1;2025 Sem. 1;Gouveia;43.0;0906
2025;1;2025 Sem. 1;Ovar;173.0;0115
2025;1;2025 Sem. 1;Murtosa;38.0;0112
2025;1;2025 Sem. 1;Sátão;45.0;1817
2025;1;2025 Sem. 1;Póvoa de Lanhoso;161.0;0309
2025;1;2025 Sem. 1;Mirandela;77.0;0407
2025;1;2025 Sem. 1;Braga;519.0;0303
2025;1;2025 Sem. 1;Tábua;38.0;0616
2025;1;2025 Sem. 1;Gondomar;216.0;1304
2025;1;2025 Sem. 1;Arcos de Valdevez;146.0;1601
2025;1;2025 Sem. 1;Chaves;138.0;1703
2025;1;2025 Sem. 1;Torre de Moncorvo;23.0;0409
