Ano;Semestre;Concelho;Potência de Ligação (kW);Processos Concluídos (#);CodConcelho
2025;1;Lamego;72.18;24.0;1805
2025;1;Mira;151.06999999999996;17.0;0608
2025;1;Lousã;32.51;15.0;0607
2025;1;Póvoa de Lanhoso;124.09;43.0;0309
2025;1;Castro Verde;39.919999999999995;13.0;0206
2025;1;Almeirim;155.45999999999998;39.0;1403
2025;1;Alandroal;43.93;11.0;0701
2025;1;Sesimbra;753.25;92.0;1511
2025;1;Alter do Chão;137.62;4.0;1201
2025;1;Avis;102.67999999999999;5.0;1203
2025;1;Lagos;294.33;42.0;0807
2025;1;Sever do Vouga;109.36;17.0;0117
2025;1;Batalha;371.07;28.0;1004
2025;1;Armamar;20.919999999999998;9.0;1801
2025;1;Oliveira do Hospital;300.09;31.0;0611
2025;1;Santarém;318.93;112.0;1416
2025;1;Celorico da Beira;17.39;8.0;0903
2025;1;Fundão;172.16;41.0;0504
2025;1;Castanheira de Pêra;10.030000000000001;8.0;1007
2025;1;Vouzela;65.58;23.0;1824
2025;1;Águeda;977.9300000000001;46.0;0101
2025;1;Cabeceiras de Basto;77.89;27.0;0304
2025;1;Nelas;25.18;15.0;1809
2025;1;Beja;302.85;22.0;0205
2025;1;Mesão Frio;4.6000000000000005;4.0;1704
2025;1;Óbidos;85.67;36.0;1012
2025;1;Sintra;1456.1100000000001;130.0;1111
2025;1;Tavira;204.38;48.0;0814
2025;1;Monforte;1.2;3.0;1211
2025;1;Mação;40.19;16.0;1413
2025;1;Ourém;319.13;68.0;1421
2025;1;Vizela;128.38;23.0;0314
2025;1;Tarouca;9.8;4.0;1820
2025;1;Cantanhede;191.97;62.0;0602
2025;1;Caminha;77.45;21.0;1602
2025;1;Fronteira;10.08;5.0;1208
2025;1;Albergaria-a-Velha;62.03;30.0;0102
2025;1;Castro Marim;1001.26;14.0;0804
2025;1;Miranda do douro;32.74;14.0;0406
2025;1;Figueira da Foz;200.59;54.0;0605
2025;1;Almada;387.83000000000004;95.0;1503
2025;1;Marco de Canaveses;429.24;62.0;1307
2025;1;Vinhais;30.14;12.0;0412
2025;1;Loures;656.17;73.0;1107
2025;1;Montemor-o-Novo;99.47;30.0;0706
2025;1;Penafiel;211.76999999999998;72.0;1311
2025;1;Paços de Ferreira;305.42;72.0;1309
2025;1;Santa Maria da Feira;479.27;101.0;0109
2025;1;Aveiro;1642.59;75.0;0105
2025;1;Santiago do Cacém;388.62;29.0;1509
2025;1;Moita;127.44999999999999;28.0;1506
2025;1;Barreiro;1050.55;15.0;1504
2025;1;Ílhavo;148.86;44.0;0110
2025;1;Alvito;5.23;3.0;0203
2025;1;Odemira;263.84999999999997;37.0;0211
2025;1;Vila Viçosa;7.45;5.0;0714
2025;1;Penamacor;10.32;5.0;0507
2025;1;Peso da Régua;30.200000000000003;13.0;1708
2025;1;Mora;46.07;8.0;0707
2025;1;Arraiolos;27.089999999999996;12.0;0702
2025;1;Torre de Moncorvo;51.68;5.0;0409
2025;1;Paredes de Coura;16.0;8.0;1605
2025;1;Ribeira de Pena;18.479999999999997;4.0;1709
2025;1;Penalva do Castelo;5.84;4.0;1811
2025;1;Mértola;21.72;8.0;0209
2025;1;Góis;1.39;2.0;0606
2025;1;Aljustrel;1047.26;17.0;0201
2025;1;Moura;47.269999999999996;12.0;0210
2025;1;Vila Nova de Paiva;175.1;7.0;1822
2025;1;Melgaço;13.78;8.0;1603
2025;1;Ovar;760.38;59.0;0115
2025;1;Esposende;386.81999999999994;52.0;0306
2025;1;Sátão;71.88;17.0;1817
2025;1;Mirandela;56.239999999999995;29.0;0407
2025;1;Tábua;118.88000000000001;14.0;0616
2025;1;Crato;10.64;10.0;1206
2025;1;Arcos de Valdevez;65.82000000000001;22.0;1601
2025;1;Castro daire;68.3;13.0;1803
2025;1;Chaves;145.38;44.0;1703
2025;1;Ferreira do Zêzere;25.369999999999997;11.0;1411
2025;1;Carregal do Sal;79.85000000000001;13.0;1802
2025;1;Amarante;318.59000000000003;57.0;1301
2025;1;Boticas;67.80999999999999;15.0;1702
2025;1;Constância;73.9;18.0;1408
2025;1;Pedrógão Grande;16.13;5.0;1013
2025;1;Amares;102.62;28.0;0301
2025;1;Matosinhos;588.62;61.0;1308
2025;1;Salvaterra de Magos;164.88;62.0;1415
2025;1;Castelo de Paiva;23.550000000000004;14.0;0106
2025;1;Tabuaço;26.38;5.0;1819
2025;1;Macedo de Cavaleiros;117.03999999999999;21.0;0405
2025;1;Sertã;52.47;22.0;0509
2025;1;Vila de Rei;12.379999999999999;4.0;0510
2025;1;Soure;186.41000000000003;28.0;0615
2025;1;Lisboa;666.9200000000001;225.0;1106
2025;1;Montijo;314.24;27.0;1507
2025;1;Freixo de Espada À Cinta;11.1;3.0;0404
2025;1;Guimarães;671.03;132.0;0308
2025;1;Belmonte;24.560000000000002;8.0;0501
2025;1;Viana do Castelo;1703.38;97.0;1609
2025;1;Montalegre;33.32;10.0;1706
2025;1;Reguengos de Monsaraz;104.07000000000001;18.0;0711
2025;1;Sardoal;9.28;7.0;1417
2025;1;Murça;34.08;6.0;1707
2025;1;Mogadouro;112.8;12.0;0408
2025;1;Paredes;651.95;55.0;1310
2025;1;Oeiras;823.89;65.0;1110
2025;1;Ponte de Lima;258.56;36.0;1607
2025;1;Vidigueira;44.220000000000006;4.0;0214
2025;1;Faro;236.17;49.0;0805
2025;1;Alijó;173.66;17.0;1701
2025;1;Viseu;640.5300000000001;107.0;1823
2025;1;Estarreja;135.31;29.0;0108
2025;1;Vila Nova de Poiares;48.849999999999994;14.0;0617
2025;1;Vila Nova de Cerveira;19.5;11.0;1610
2025;1;Borba;2.75;5.0;0703
2025;1;Alcochete;57.06;14.0;1502
2025;1;Maia;1349.74;137.0;1306
2025;1;Entroncamento;80.22;15.0;1410
2025;1;Bragança;172.5;48.0;0402
2025;1;Tomar;425.57000000000005;63.0;1418
2025;1;Bombarral;111.77;22.0;1005
2025;1;Vila do Conde;400.26;63.0;1316
2025;1;Vila Real de Santo António;28.03;14.0;0816
2025;1;Vila Flor;13.16;2.0;0410
2025;1;Sabugal;118.43;19.0;0911
2025;1;Ansião;116.71000000000001;51.0;1003
2025;1;Terras de Bouro;15.55;11.0;0310
2025;1;Vimioso;2.7;2.0;0411
2025;1;Sobral de Monte Agraço;31.14;6.0;1112
2025;1;Vila Real;225.09;46.0;1714
2025;1;Alcobaça;757.6300000000001;80.0;1001
2025;1;Pampilhosa da Serra;17.0;3.0;0612
2025;1;Mourão;18.0;2.0;0708
2025;1;Mondim de Basto;25.290000000000003;13.0;1705
2025;1;Campo Maior;206.7;7.0;1204
2025;1;Sernancelhe;31.3;13.0;1818
2025;1;São João da Pesqueira;62.839999999999996;13.0;1815
2025;1;Manteigas;2.23;2.0;0908
2025;1;Pinhel;131.07999999999998;6.0;0910
2025;1;Vieira do Minho;25.380000000000003;6.0;0311
2025;1;Aljezur;36.9;13.0;0803
2025;1;Vila Nova de Foz Côa;74.66;9.0;0914
2025;1;Espinho;9.87;5.0;0107
2025;1;Vila Velha de Ródão;1.8599999999999999;2.0;0511
2024;1;Ponte da Barca;122.25;28.0;1606
2024;1;Penafiel;1643.27;238.0;1311
2024;1;Carrazeda de Ansiães;229.13;29.0;0403
2024;1;Leiria;4162.01;461.0;1009
2024;1;Sátão;146.11;42.0;1817
2024;1;Freixo de Espada À Cinta;46.51;17.0;0404
2024;1;Vila Velha de Ródão;51.93000000000001;20.0;0511
2024;1;Alcobaça;818.4300000000001;226.0;1001
2024;1;Paredes de Coura;218.57;29.0;1605
2024;1;Setúbal;1476.96;232.0;1512
2024;1;Lagos;530.1000000000001;109.0;0807
2024;1;Palmela;4200.54;312.0;1508
2024;1;Marinha Grande;2467.9700000000003;139.0;1010
2024;1;Oliveira de Frades;824.23;50.0;1810
2024;1;Sesimbra;1382.53;242.0;1511
2024;1;Ponte de Sor;184.85999999999999;48.0;1213
2024;1;Estremoz;437.01;48.0;0704
