ano;mes;Distrito;Concelho;Freguesia;tipo_de_lampada;luminarias;potencia instalada total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2025;3;Aveiro;Águeda;Aguada de Cima;Sódio;256.0;18810.0;01;0101;010103
2025;3;Aveiro;Águeda;Fermentelos;Outros/Não definido;57.0;;01;0101;010109
2025;3;Aveiro;Águeda;Fermentelos;Sódio;296.0;23510.0;01;0101;010109
2025;3;Aveiro;Águeda;Águeda e Borralha;Sódio;1534.0;144360.0;01;0101;010121
2025;3;Aveiro;Águeda;Belazaima do Chão, Castanheira do Vouga e Agadão;LED;287.0;10138.0;01;0101;010123
2025;3;Aveiro;Águeda;Belazaima do Chão, Castanheira do Vouga e Agadão;Mercúrio;33.0;2730.0;01;0101;010123
2025;3;Aveiro;Águeda;Belazaima do Chão, Castanheira do Vouga e Agadão;Outros/Não definido;27.0;100.0;01;0101;010123
2025;3;Aveiro;Águeda;Belazaima do Chão, Castanheira do Vouga e Agadão;Sódio;1088.0;77470.0;01;0101;010123
2025;3;Aveiro;Águeda;Recardães e Espinhel;Iodeto Metálico;7.0;1550.0;01;0101;010124
2025;3;Aveiro;Águeda;Recardães e Espinhel;Mercúrio;38.0;2200.0;01;0101;010124
2025;3;Aveiro;Águeda;Recardães e Espinhel;Outros/Não definido;25.0;220.0;01;0101;010124
2025;3;Aveiro;Águeda;Recardães e Espinhel;Sódio;1350.0;118870.0;01;0101;010124
2025;3;Aveiro;Águeda;Travassô e Óis da Ribeira;Mercúrio;21.0;1050.0;01;0101;010125
2025;3;Aveiro;Águeda;Trofa, Segadães e Lamas do Vouga;LED;1664.0;62676.800647735596;01;0101;010126
2025;3;Aveiro;Águeda;Trofa, Segadães e Lamas do Vouga;Outros/Não definido;21.0;;01;0101;010126
2025;3;Aveiro;Águeda;Préstimo e Macieira de Alcoba;Indução;20.0;1000.0;01;0101;010127
2025;3;Aveiro;Águeda;Préstimo e Macieira de Alcoba;LED;109.0;4028.800003051758;01;0101;010127
2025;3;Aveiro;Águeda;Préstimo e Macieira de Alcoba;Outros/Não definido;41.0;;01;0101;010127
2025;3;Aveiro;Albergaria-a-Velha;Alquerubim;Fluorescente;9.0;900.0;01;0102;010202
2025;3;Aveiro;Albergaria-a-Velha;Angeja;LED;630.0;26442.100009918213;01;0102;010203
2025;3;Aveiro;Albergaria-a-Velha;Branca;LED;1644.0;70041.70003509521;01;0102;010204
2025;3;Aveiro;Albergaria-a-Velha;Branca;Outros/Não definido;56.0;285.0;01;0102;010204
2025;3;Aveiro;Albergaria-a-Velha;Ribeira de Fráguas;Mercúrio;1.0;50.0;01;0102;010206
2025;3;Aveiro;Albergaria-a-Velha;Ribeira de Fráguas;Outros/Não definido;20.0;;01;0102;010206
