Trimestre;Distrito;Concelho;Freguesia;Potência Máxima Admissível (kW);Pontos de ligação para instalações de PCVE;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024T2;Beja;Beja;Beja (Santiago Maior e São João Baptista);250.0;1;02;0205;020521
2024T2;Lisboa;Odivelas;Odivelas;49.5;1;11;1116;111603
2024T2;Lisboa;Torres Vedras;Silveira;6.9;1;11;1113;111316
2024T2;Santarém;Salvaterra de Magos;Marinhais;630.0;1;14;1415;141502
2024T2;Castelo Branco;Castelo Branco;Castelo Branco;51.75;1;05;0502;050205
2024T2;Porto;Matosinhos;Custóias, Leça do Balio e Guifões;10.35;4;13;1308;130811
2024T2;Setúbal;Barreiro;Santo António da Charneca;10.35;2;15;1504;150407
2024T2;Porto;Matosinhos;Matosinhos e Leça da Palmeira;6.9;3;13;1308;130812
2024T2;Santarém;Tomar;São João Baptista e Santa Maria dos Olivais;630.0;1;14;1418;141821
2024T2;Lisboa;Cascais;Cascais e Estoril;10.35;11;11;1105;110508
2024T2;Lisboa;Oeiras;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;17.25;2;11;1110;111014
2024T2;Santarém;Santarém;União das freguesias da cidade de Santarém;13.8;2;14;1416;141633
2024T2;Lisboa;Odivelas;Pontinha e Famões;630.0;1;11;1116;111608
2024T2;Coimbra;Mira;Mira;250.0;2;06;0608;060801
2024T2;Aveiro;Aveiro;Esgueira;100.0;4;01;0105;010505
2024T2;Porto;Felgueiras;Vila Cova da Lixa e Borba de Godim;140.0;1;13;1303;130339
2024T2;Coimbra;Figueira da Foz;Tavarede;113.7;1;06;0605;060512
2024T2;Setúbal;Sines;Sines;160.0;1;15;1513;151301
2024T2;Viseu;Armamar;Vila Seca e Santo Adrião;630.0;1;18;1801;180123
2024T2;Lisboa;Sintra;Queluz e Belas;10.35;5;11;1111;111126
2024T2;Lisboa;Lisboa;Parque das Nações;110.0;1;11;1106;110662
2024T2;Lisboa;Sintra;Algueirão-Mem Martins;10.35;2;11;1111;111102
2024T2;Lisboa;Odivelas;Ramada e Caneças;126.0;1;11;1116;111610
2024T2;Coimbra;Coimbra;Assafarge e Antanhol;6.9;2;06;0603;060333
2024T2;Setúbal;Setúbal;Azeitão (São Lourenço e São Simão);10.35;8;15;1512;151209
2024T2;Setúbal;Alcochete;Alcochete;60.0;1;15;1502;150201
2024T2;Lisboa;Sobral de Monte Agraço;Sapataria;20.7;1;11;1112;111202
2024T2;Lisboa;Lisboa;Santo António;20.7;1;11;1106;110666
